,Date,Rainfall
67200,2008-07-01,2.0
67201,2008-07-02,0.6
67202,2008-07-03,1.4
67203,2008-07-04,0.6
67204,2008-07-05,0.0
67205,2008-07-06,0.0
67206,2008-07-07,0.0
67207,2008-07-08,5.0
67208,2008-07-09,1.2
67209,2008-07-10,3.0
67210,2008-07-11,0.2
67211,2008-07-12,0.0
67212,2008-07-13,0.0
67213,2008-07-14,0.0
67214,2008-07-15,0.0
67215,2008-07-16,0.0
67216,2008-07-17,0.0
67217,2008-07-18,0.8
67218,2008-07-19,1.6
67219,2008-07-20,0.8
67220,2008-07-21,13.8
67221,2008-07-22,2.4
67222,2008-07-23,0.8
67223,2008-07-24,0.0
67224,2008-07-25,0.0
67225,2008-07-26,0.0
67226,2008-07-27,8.2
67227,2008-07-28,1.6
67228,2008-07-29,0.0
67229,2008-07-30,0.0
67230,2008-07-31,0.4
67231,2008-08-01,0.4
67232,2008-08-02,0.6
67233,2008-08-03,0.0
67234,2008-08-04,0.2
67235,2008-08-05,0.2
67236,2008-08-06,0.0
67237,2008-08-07,0.0
67238,2008-08-08,0.4
67239,2008-08-09,1.8
67240,2008-08-10,4.8
67241,2008-08-11,11.4
67242,2008-08-12,0.6
67243,2008-08-13,1.6
67244,2008-08-14,0.2
67245,2008-08-15,0.2
67246,2008-08-16,2.2
67247,2008-08-17,4.2
67248,2008-08-18,0.4
67249,2008-08-19,0.0
67250,2008-08-20,0.0
67251,2008-08-21,0.0
67252,2008-08-22,14.0
67253,2008-08-23,0.6
67254,2008-08-24,0.2
67255,2008-08-25,0.0
67256,2008-08-26,0.0
67257,2008-08-27,0.0
67258,2008-08-28,0.0
67259,2008-08-29,0.4
67260,2008-08-30,0.0
67261,2008-08-31,0.4
67262,2008-09-01,0.8
67263,2008-09-02,0.8
67264,2008-09-03,0.4
67265,2008-09-04,0.0
67266,2008-09-05,0.0
67267,2008-09-06,0.0
67268,2008-09-07,0.0
67269,2008-09-08,0.2
67270,2008-09-09,0.2
67271,2008-09-10,0.0
67272,2008-09-11,0.0
67273,2008-09-12,0.0
67274,2008-09-13,0.0
67275,2008-09-14,0.0
67276,2008-09-15,0.0
67277,2008-09-16,2.0
67278,2008-09-17,0.0
67279,2008-09-18,0.0
67280,2008-09-19,0.0
67281,2008-09-20,0.2
67282,2008-09-21,0.4
67283,2008-09-22,0.0
67284,2008-09-23,6.4
67285,2008-09-24,0.0
67286,2008-09-25,0.0
67287,2008-09-26,0.0
67288,2008-09-27,0.0
67289,2008-09-28,0.0
67290,2008-09-29,0.6
67291,2008-09-30,0.0
67292,2008-10-01,0.0
67293,2008-10-02,0.0
67294,2008-10-03,0.0
67295,2008-10-04,4.4
67296,2008-10-05,0.0
67297,2008-10-06,1.0
67298,2008-10-07,2.0
67299,2008-10-08,0.0
67300,2008-10-09,0.0
67301,2008-10-10,0.0
67302,2008-10-11,0.0
67303,2008-10-12,0.0
67304,2008-10-13,0.0
67305,2008-10-14,0.0
67306,2008-10-15,0.0
67307,2008-10-16,0.0
67308,2008-10-17,0.0
67309,2008-10-18,1.6
67310,2008-10-19,0.0
67311,2008-10-20,0.0
67312,2008-10-21,0.0
67313,2008-10-22,2.6
67314,2008-10-23,0.0
67315,2008-10-24,0.0
67316,2008-10-25,0.0
67317,2008-10-26,0.0
67318,2008-10-27,0.0
67319,2008-10-28,2.2
67320,2008-10-29,0.0
67321,2008-10-30,0.0
67322,2008-10-31,0.4
67323,2008-11-01,0.2
67324,2008-11-02,0.0
67325,2008-11-03,2.8
67326,2008-11-04,2.0
67327,2008-11-05,0.0
67328,2008-11-06,0.0
67329,2008-11-07,0.0
67330,2008-11-08,7.6
67331,2008-11-09,0.0
67332,2008-11-10,0.0
67333,2008-11-11,0.0
67334,2008-11-12,0.0
67335,2008-11-13,0.0
67336,2008-11-14,10.2
67337,2008-11-15,0.0
67338,2008-11-16,0.0
67339,2008-11-17,0.0
67340,2008-11-18,0.0
67341,2008-11-19,0.4
67342,2008-11-20,4.0
67343,2008-11-21,0.2
67344,2008-11-22,5.8
67345,2008-11-23,15.2
67346,2008-11-24,0.0
67347,2008-11-25,0.0
67348,2008-11-26,0.0
67349,2008-11-27,0.0
67350,2008-11-28,0.4
67351,2008-11-29,5.4
67352,2008-11-30,0.0
67353,2008-12-01,1.4
67354,2008-12-02,0.0
67355,2008-12-03,0.0
67356,2008-12-04,0.0
67357,2008-12-05,0.6
67358,2008-12-06,0.0
67359,2008-12-07,0.4
67360,2008-12-08,0.0
67361,2008-12-09,0.0
67362,2008-12-10,4.8
67363,2008-12-11,0.0
67364,2008-12-12,0.0
67365,2008-12-13,36.2
67366,2008-12-14,21.8
67367,2008-12-15,0.8
67368,2008-12-16,0.0
67369,2008-12-17,3.4
67370,2008-12-18,1.4
67371,2008-12-19,4.0
67372,2008-12-20,0.2
67373,2008-12-21,0.0
67374,2008-12-22,0.0
67375,2008-12-23,0.0
67376,2008-12-24,0.0
67377,2008-12-25,0.0
67378,2008-12-26,0.0
67379,2008-12-27,0.0
67380,2008-12-28,0.0
67381,2008-12-29,0.0
67382,2008-12-30,1.8
67383,2008-12-31,0.0
67384,2009-01-01,0.0
67385,2009-01-02,0.2
67386,2009-01-03,0.6
67387,2009-01-04,0.0
67388,2009-01-05,0.0
67389,2009-01-06,0.0
67390,2009-01-07,0.0
67391,2009-01-08,0.0
67392,2009-01-09,0.0
67393,2009-01-10,0.0
67394,2009-01-11,0.0
67395,2009-01-12,0.0
67396,2009-01-13,0.0
67397,2009-01-14,0.0
67398,2009-01-15,0.0
67399,2009-01-16,0.0
67400,2009-01-17,0.0
67401,2009-01-18,0.0
67402,2009-01-19,0.0
67403,2009-01-20,0.0
67404,2009-01-21,0.0
67405,2009-01-22,0.0
67406,2009-01-23,0.0
67407,2009-01-24,0.0
67408,2009-01-25,0.0
67409,2009-01-26,0.0
